name,place_id,business_status,types,lat,lng
CAIPI,ChIJL_9xZACjb48Rom63eGu8VIk,OPERATIONAL,"point_of_interest,establishment",14.1023781,-87.2066992
Jardín Nacional Comayagüela,ChIJ1wuhq8Kjb48RUmldq_tl5Ek,OPERATIONAL,"school,point_of_interest,establishment",14.1021373,-87.2112748
ABC EDUCARE,ChIJUfBD1t-jb48RafFWIlO9O0Q,OPERATIONAL,"point_of_interest,establishment",14.101303,-87.1926249
Macris Play and Learn,ChIJjWdkccOib48RR1YnE2qe2L4,OPERATIONAL,"school,point_of_interest,establishment",14.1023743,-87.1941876
Integrity Academy Palmira,ChIJPUnMMACjb48RS3Cgl_hjnYg,OPERATIONAL,"school,point_of_interest,establishment",14.10109,-87.19268029999999
Centro Educativo ELIENAI,ChIJXwxIMDujb48Rio7Wy0MFu2A,OPERATIONAL,"school,point_of_interest,establishment",14.0993098,-87.1606326
Guardería FEMORZA,ChIJTdo5Rxijb48RyuU4j4NzT1A,OPERATIONAL,"school,point_of_interest,establishment",14.1023572,-87.14238189999999
Jardin Escuela E Instituto Children's Village School,ChIJFapxzjiYb48R34Ddo8Y4yZo,OPERATIONAL,"school,point_of_interest,establishment",14.1056974,-87.2472954
"Centro educativo Prebasica ""Dulce Amanecer"" Comayaguela",ChIJQxBxIyuZb48Rl_UbOk1Wz8s,OPERATIONAL,"school,point_of_interest,establishment",14.1061237,-87.2404644
"Centro de Educacion Prebasica"" Dulce Amanecer""",ChIJOVdkUjuZb48RpEp1gHVnWUA,OPERATIONAL,"school,point_of_interest,establishment",14.1054956,-87.23269789999999
Kinder San Martin,ChIJi2cOg8Kjb48RzmRY7KzwHpU,OPERATIONAL,"school,point_of_interest,establishment",14.1039407,-87.2177588
Acai,ChIJmRfOyuOjb48RD17TxDeq00I,OPERATIONAL,"point_of_interest,establishment",14.1059713,-87.1832763
Jardin de Niños Cipriana Alvarado,ChIJbf0_OqCib48R2zZgWhqaNNI,OPERATIONAL,"school,point_of_interest,establishment",14.1064116,-87.2202298
Jardin de niños Paca Viuda De Lardizabal,ChIJp8Io-aOib48RdD29suPgNtk,OPERATIONAL,"school,point_of_interest,establishment",14.1017399,-87.21665399999999
ChildFund Honduras,ChIJmRli0d2ib48Rb6CNR01mCGQ,OPERATIONAL,"point_of_interest,establishment",14.1058014,-87.1869394
Escuela Fantasías Infantiles,ChIJU93Ep0Kjb48RdxnQF1ACmnU,OPERATIONAL,"school,point_of_interest,establishment",14.1065443,-87.15290929999999
kinder El carrizal nº 2,ChIJ1zu9q4GZb48RsdDR4X8p5ns,OPERATIONAL,"point_of_interest,establishment",14.1022818,-87.2395011
Kinder Norma Funez,ChIJ9Sgi_XSYb48R2-SrtysldU4,OPERATIONAL,"school,point_of_interest,establishment",14.1097501,-87.2245516
Kinder Hildergard,ChIJz7wXtpWib48RqGT5J_vFoqQ,OPERATIONAL,"school,point_of_interest,establishment",14.1096889,-87.20574289999999
Institito Hildegard,ChIJh-jMTJSib48RHzXuuTf6SkI,OPERATIONAL,"school,point_of_interest,establishment",14.1101515,-87.2054182
El Materno todo para bebés y abuelitos El Centro 1,ChIJvWK3qyKjb48R_QNaWz-gEyk,OPERATIONAL,"clothing_store,store,point_of_interest,establishment",14.1069165,-87.20470929999999
Jardin de niños juan almendares,ChIJwy4auIKjb48Rfnb4NkcDwvc,OPERATIONAL,"school,point_of_interest,establishment",14.1091064,-87.1900929
Unicef Honduras,ChIJPVpQatyib48RL6g99HWNhRU,OPERATIONAL,"point_of_interest,establishment",14.102434,-87.1889356
Escuela,ChIJ7VWif6ujb48Rcn2f_5dRWe4,OPERATIONAL,"school,point_of_interest,establishment",14.1073888,-87.1890305
CasaTegus,ChIJ5wSeeQCjb48RLk4TSRvxSiw,OPERATIONAL,"school,point_of_interest,establishment",14.1059824,-87.19517429999999
Jardin de Niños Y Niñas,ChIJE65nR2ajb48RpjTe0s6iu1Y,OPERATIONAL,"school,point_of_interest,establishment",14.1104961,-87.1509438
Kinder de niños Alejandrina Bermudes,ChIJeV5EBjeZb48RLWocNUrJicA,OPERATIONAL,"school,point_of_interest,establishment",14.1121852,-87.2417287
Centro de desarrollo Santa Mónica,ChIJW21rUgOZb48REqG3RatkUsI,OPERATIONAL,"point_of_interest,establishment",14.1134188,-87.234934
"Centro Infantil Santa Mónica, ACOES",ChIJITV0H9mZb48Rh6_ZswyfgAs,OPERATIONAL,"school,point_of_interest,establishment",14.1137531,-87.2315912
Kinder de Niños de Jesús,ChIJe979G52Zb48R34NnYuBiGWI,OPERATIONAL,"school,point_of_interest,establishment",14.1126636,-87.23756449999999
Jardín de Niños Mundo Maravilloso,ChIJG4iXrHSjb48Ru0p7HXU3nEs,OPERATIONAL,"school,point_of_interest,establishment",14.1131685,-87.21040459999999
Kinder Amigos De America,ChIJQ7nJHOyib48R1FH2qSN3zN4,OPERATIONAL,"school,point_of_interest,establishment",14.1134134,-87.1979465
"Jardín de Niños ""San Vicente de Paúl""",ChIJ50AFk-ejb48RXC5FjIUUT-A,OPERATIONAL,"school,point_of_interest,establishment",14.1145296,-87.20147109999999
Anexo Nashville Pre School #3,ChIJb9hyKa6jb48RHvLLAt0hYoI,OPERATIONAL,"school,point_of_interest,establishment",14.1169451,-87.1996911
Chiquitines Daycare,ChIJA4hWHGujb48R1ix6t7aKUfM,OPERATIONAL,"point_of_interest,establishment",14.1179837,-87.22141690000001
Kindergarten Cerro Grande,ChIJmYAzq3eYb48ROCBlPgYoAZc,OPERATIONAL,"school,point_of_interest,establishment",14.1161706,-87.22426709999999
Pagoda School Children,ChIJJYvgwHmYb48RsCnJHJOmSuE,OPERATIONAL,"school,point_of_interest,establishment",14.1203135,-87.2255244
CCEPREB Abejitas del Carmen,ChIJRzncimSjb48RuD2BCMhdKM4,OPERATIONAL,"school,point_of_interest,establishment",14.1197545,-87.188886
CEP Marina Tercero Gómez,ChIJPVtLTZGZb48RH-EfttNFu40,OPERATIONAL,"school,point_of_interest,establishment",14.1243198,-87.229826
La. Casa del sabueso,ChIJnfmmbgCXb48RjncTyp0akSQ,OPERATIONAL,"point_of_interest,establishment",14.013222,-87.230018
School October 3,ChIJ-bJirba9b48RNCTQZW2VP_A,OPERATIONAL,"primary_school,school,point_of_interest,establishment",14.0197183,-87.1879684
Centroamerican Bilingual School,ChIJAbYweS-jb48R412TBuNKeXA,OPERATIONAL,"point_of_interest,establishment",14.0388081,-87.2312982
